ID,Company_name,year,cgpa_criteria,branch_criteria,ce,entc,it,Male,Female,Total,sal_lpa
267,IDeaS,2021 -22,8,CE & IT (UG),5,0,0,4,1,5,10.17
268,IDeaS A Sas,2019-20,7,All(UG),1,0,2,3,0,3,9
269,IDeaS A SAS,2020 -21,8,CE & IT (UG),2,0,0,2,0,2,9
270,IDFC FIRST Bank,2020 -21,6.82,CE (UG),1,0,0,1,0,1,15
271,IGT Solutions,2020 -21,7.38,CE & IT (UG),0,0,0,0,0,0,4
272,Imagination Tech.,2019-20,8,All(UG),0,0,0,0,0,0,8.5
273,Imagination Technologies,2022-23,8,All (UG),0,1,0,1,0,1,12
274,Incubyte,2022-23,NC,All (UG),0,2,1,3,0,3,11
275,Infogen Lab,2019-20,6.82,CE & IT (UG),1,0,1,2,0,2,5
276,Infogen Labs,2021 -22,6,CE & IT (UG),6,0,5,7,4,11,8
277,Infogen Labs,2022-23,NC,CS,0,0,5,3,2,5,8
278,Infogen Labs,2020 -21,6.82,CE & IT (UG),5,0,0,3,2,5,5
279,Infosys,2020 -21,6.82,All (UG and PG),2,2,0,1,3,4,3.5
280,InnoGenium,2019-20,6.82,All(UG),1,5,0,1,5,6,8.5
281,Innoplexus,2022-23,6.5,All (UG),2,2,3,7,0,7,12
282,Innovaccer,2021 -22,NC,All (UG and PG),0,0,1,1,0,1,8
283,Intangles Lab,2023-24,8,Entc,0,1,0,0,1,1,6
284,IntegriChain Inc.,2020 -21,6.82,All (UG),0,0,0,0,0,0,3
285,Interactive Brokers,2021 -22,7.4,All (UG and PG),1,0,0,1,0,1,9.35
286,Interactive Brokers,2019-20,7.95,All(UG),1,0,0,1,0,1,8.18
287,Ion,2023-24,8.52,All UG,9,3,5,17,0,17,14
288,Ion,2022-23,NC,All (UG),3,2,4,7,2,9,14.1
289,ION,2019-20,6.82,All(UG),1,1,0,1,1,2,12
290,ION,2021 -22,6.82,All (UG),6,2,2,7,3,10,14.1
291,ION Group,2020 -21,6.82,All (UG) and CE & IT (PG),2,1,2,3,2,5,12
292,iQ Digital,2020 -21,6.82,All (UG),0,0,1,0,1,1,4
293,ISS,2023-24,8.5,All UG,3,1,0,4,0,4,13
294,ITC Infotech,2021 -22,6.82,All(UG),1,2,0,2,1,3,4.5
295,Ittiam,2023-24,8,ALL UG,0,2,1,3,1,3,16
296,Ittiam,2021 -22,7.5,All (UG and PG),0,2,1,2,1,3,10.4
297,Ittiam,2019-20,7.95,All (UG and PG),0,0,1,1,0,1,10.9
298,Ittiam Systems,2022-23,8.53,All (UG),0,0,1,1,0,1,16
299,Ittiam Systems,2022-23,PPO,All (UG),3,1,1,4,1,5,16
300,Jaro Education,2019-20,NC,All (UG and PG),0,0,0,0,0,0,12.02
301,Jaro Education,2020 -21,NC,All (UG),0,0,0,0,0,0,6.6
302,Jio,2020 -21,6.82,All (UG),1,0,0,1,0,1,5
303,JISA Softech,2020 -21,NC,All (UG),0,1,0,1,0,1,4
304,JM Finance,2023-24,7,ALl UG,0,2,0,2,0,2,10
305,Jombay,2020 -21,NC,CE & IT (UG),1,0,0,1,0,1,10
306,JPMC,2023-24,0,All UG,2,0,0,0,2,2,19.6
307,K12 Techno Services,2020 -21,NC,All (UG and PG),0,5,1,5,2,7,6
308,Kylas,2022-23,7,CS & IT (UG),2,0,2,4,0,4,13
309,Kylas,2020 -21,6.82,All (UG and PG),0,0,0,0,0,0,4
310,Kylas,2020 -21,6.82,All (UG and PG),2,0,2,3,1,4,13.11
311,L & T Infotech,2019-20,6.82,All(UG),5,2,5,7,5,12,6.5
312,L & T Infotech,2020 -21,6.82,All (UG),0,0,1,1,0,1,10
313,L & T Infotech,2020 -21,6.82,All (UG),0,2,1,3,0,3,8
314,L & T Infotech,2020 -21,6.82,All (UG),1,4,0,5,0,5,6.5
315,L & T Infotech,2020 -21,6.82,All (UG),6,14,2,14,8,22,5
316,L & T Infotech,2019-20,6.82,All(UG),10,32,7,23,26,49,5
317,Launch Ventures,2023-24,6.82,ALl UG,1,0,1,3,0,2,6
318,Launch Ventures,2022-23,6.5,All (UG),1,1,2,2,2,4,6
319,Lentra AI,2021 -22,6.82,All (UG),1,2,0,3,0,3,7.5
320,Lentra AI,2019-20,NC,CE & IT (UG),2,0,2,3,1,4,4.8
321,Lifeline Systech,2019-20,7.38,All(UG),0,1,2,2,1,3,4.5
322,Live Health,2019-20,6.82,All(UG),2,0,0,1,1,2,5.83
323,Logicmonitor,2019-20,6.82,All(UG),1,0,0,1,0,1,7.7
324,LogiQuad,2021 -22,7.38,All(UG),1,1,0,2,0,2,7.5
325,Lowe's India,2021 -22,PPO,All (UG),0,1,0,0,1,1,19.34
326,Lowe's India,2022-23,NC,All (UG),1,0,0,1,0,1,18.36
327,LTI,2021 -22,6.82,All (UG),0,1,0,1,0,1,8
328,LTI,2021 -22,6.82,All (UG),0,2,0,0,2,2,6.5
329,LTI,2021 -22,6.82,All (UG),0,2,0,2,0,2,5
330,LTI Spark,2022-23,NC,All (UG),0,1,0,1,0,1,4
331,Mastercard,2022-23,7.5,All (UG),3,0,1,3,1,4,13.4
332,Mastercard,2023-24,7.5,All UG,9,0,6,6,6,15,13.4
333,Mastercard,2022-23,7,All (UG),15,1,0,9,7,16,13.4
334,Mastercard,2023-24,PPO,All UG,10,3,3,4,12,16,13.4
335,Mastercard,2022-23,7.5,All (UG),2,1,1,2,2,4,13.4
336,Mastercard,2020 -21,7.5,All (UG),7,1,6,4,10,14,9.69
337,Mastercard,2021 -22,7.5,All (UG),2,3,6,6,5,11,9.69
338,McKinley & Rice,2020 -21,NC,All (UG and PG),0,0,0,0,0,0,5
339,Media.net,2019-20,NC,All(UG),0,0,0,0,0,0,29.96
340,Media.net,2021 -22,7.5,ALL(UG),1,0,0,1,0,1,15.77
341,Media.net,2022-23,6.5,All (UG),1,0,0,1,0,1,15.8
