ID,Table Names,unique_id,Company_name,year,cgpa_criteria,branch_criteria,ce,ce_shift1,ce_shift2,entc,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
101,Placement-Report_modified_2019-20.csv,22,CLSA,2019-20,6.82,All (UG),0,0,0,0,0,0,0,0,0,0,8.5
102,Placement-Report_modified_2019-20.csv,21,Enthralltech,2019-20,7,All (UG),1,1,0,2,1,1,1,4,0,4,4
103,Placement-Report_modified_2019-20.csv,20,GNS Engg.,2019-20,NC,CE & IT (UG),1,0,1,0,0,0,0,1,0,1,4
104,Placement-Report_modified_2019-20.csv,19,Blue Flame Labs,2019-20,NC,All(UG),1,1,0,0,0,0,2,3,0,3,3
105,Placement-Report_modified_2019-20.csv,18,Reposenergy,2019-20,NC,All(UG),0,0,0,0,0,0,0,0,0,0,3.5
106,Placement-Report_modified_2019-20.csv,17,Lentra AI,2019-20,NC,CE & IT (UG),2,2,0,0,0,0,2,3,1,4,4.8
107,Placement-Report_modified_2019-20.csv,16,Demand Matrix,2019-20,6.82,All(UG),0,0,0,0,0,0,0,0,0,0,4.5
108,Placement-Report_modified_2019-20.csv,15,Sapient,2019-20,6.82,All (UG),2,2,0,1,0,1,3,6,0,6,8.5
109,Placement-Report_modified_2019-20.csv,14,FinIQ,2019-20,6.82,All (UG),3,1,2,1,1,0,1,3,2,5,9.5
110,Placement-Report_modified_2019-20.csv,13,FinIQ,2019-20,6.82,All(UG),1,1,0,0,0,0,1,1,1,2,11.5
111,Placement-Report_modified_2019-20.csv,12,Endurance International,2019-20,6.82,All(UG),0,0,0,2,2,0,0,1,1,2,4.5
112,Placement-Report_modified_2019-20.csv,11,Lifeline Systech,2019-20,7.38,All(UG),0,0,0,1,1,0,2,2,1,3,4.5
113,Placement-Report_modified_2019-20.csv,4,e-Zest,2019-20,6.82,All(UG),0,0,0,1,1,0,1,0,2,2,4
114,Placement-Report_modified_2019-20.csv,5,Xpanxion,2019-20,6.82,All(UG),0,0,0,2,2,0,0,1,1,2,4.5
115,Placement-Report_modified_2019-20.csv,6,IBM,2019-20,6.82,All(UG),0,0,0,3,2,1,0,0,3,3,4.1
116,Placement-Report_modified_2019-20.csv,7,Cognizant,2019-20,6.82,All(UG),0,0,0,3,3,0,0,0,3,3,4
117,Placement-Report_modified_2019-20.csv,8,Crane process flow,2019-20,6.5,E&TC (UG),0,0,0,1,0,1,,0,1,1,4.6
118,Placement-Report_modified_2019-20.csv,9,Eternus Solutions,2019-20,6.82,All(UG),1,1,0,1,1,0,0,1,1,2,4.25
119,Placement-Report_modified_2019-20.csv,10,Flo Group,2019-20,7,All(UG),0,0,0,1,1,0,0,0,1,1,3.5
120,Placement-Report_modified_2019-20.csv,28,Bizreach,2019-20,NC,All (UG),1,1,0,0,0,0,0,0,1,1,32
121,Placement Report_modified_ 2020-21.csv,3,3EA,2020 -21,6.82,All (UG and PG),0,0,0,1,1,0,0,1,0,1,6
122,Placement Report_modified_ 2020-21.csv,141,Valuence Holdings,2020 -21,NC,All (UG and PG),2,2,0,0,0,0,0,1,1,2,21.22
123,Placement Report_modified_ 2020-21.csv,125,Siemens,2020 -21,7.95,All (UG and PG),5,5,0,0,0,0,2,7,0,7,9
124,Placement Report_modified_ 2020-21.csv,127,Swasthya AI,2020 -21,6.82,All (UG),0,0,0,0,0,0,0,0,0,0,6
125,Placement Report_modified_ 2020-21.csv,6,Accenture,2020 -21,7.38,All (UG),6,5,1,11,7,4,6,10,13,23,4.5
