"Society for Computer Technology and Research’s
PUNE INSTITUTE OF COMPUTER TECHNOLOGY
S.No. 27,Dhankawadi, Pune Satara Road, Pune 411043.
PLACEMENT REPORT (AY: 2019-20)",,,,,,,,,,,,,,,,,,
Students Placement (Companywise),,,,,,,,,,,,,,,,,,
SrNo,Company,"Criteria ( CGPA &
Branches)",,UG,,,,,PG,,,Total,,,Sal. LPA,Visit Date,"Total
Salary
LPA",
,,,,BE CE,,BE E&TC,,BE IT,ME CE,ME E&TC,ME IT,,,,,,,
,,,,,,,,,,,,M,F,T,,,,
Group I: Niche Companies (Salary above 5.0 LPA),,,,,,,,,,,,,,,,,,
107,Flo Group,,,,,7,,All(UG),0,0,1,0,,0,,NA,NA,NA,0,1,1,,3.5,,13/01/20,,3.5,
108,Lifeline Systech,,,,,7.38,,All(UG),0,0,1,0,,2,,NA,NA,NA,2,1,3,,4.5,,23/01/20,,13.5,
109,Endurance International,,,,,6.82,,All(UG),0,0,2,0,,0,,NA,NA,NA,1,1,2,,4.5,,28/01/20,,9,
110,Demand Matrix,,,,,6.82,,All(UG),0,0,0,0,,0,,NA,NA,NA,0,0,0,,4.5,,06/02/20,,0,
111,Lentra AI,,,,,NC,,CE & IT (UG),2,0,NA,NA,,2,,NA,NA,NA,3,1,4,,4.8,,12/05/20,,19.2,
112,Reposenergy,,,,,NC,,All(UG),0,0,0,0,,0,,NA,NA,NA,0,0,0,,3.5,,20/05/20,,0,
113,Blue Flame Labs,,,,,NC,,All(UG),1,0,0,0,,2,,NA,NA,NA,3,0,3,,3,,11/08/20,,9,
114,GNS Engg.,,,,,NC,,CE & IT (UG),0,1,NA,NA,,0,,NA,NA,NA,1,0,1,,4,,07/09/20,,4,
115,Enthralltech,,,,,7,,All (UG),1,0,1,1,,1,,NA,NA,NA,4,0,4,,4,,16/09/20,,16,
Groupt II Total,,,,,,,,,10,2,38,8,,11,,0,0,1,38,32,70,,Avg. Salary,,,,4.02,
Total count of Students Placed,,,,,,,,,198,55,139,39,,122,,0,0,1,351,203,554,,,,,,,
,"NA: Not Applicable, NC: No Criteria",,,,,,,,,,,,,,,,,,,OverAll Avg. Sal.,,,,,,,7.6,

,,,,,,,,,,,,Dr. R Sreemathy,,,,,,,,,,,,,,,,
,,Dr. Satish Narkhede,,,,,,,,,,,,,,,,,,,,Dr. Prahlad Kulkarni,,,,,,


,,,,TPO,,,,,,,,,I/c Principal,,,,,,,,,,,Director,,,,

,P:F-TRPL/03/R0,,,,,,,,,,,,,,,,,,,,,,,,,,,
